ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,content,rating_count,average_rating,weighted_rating
0345354621,The Terminal Man,Michael Crichton,1988,Ballantine Books,http://images.amazon.com/images/P/0345354621.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345354621.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345354621.01.LZZZZZZZ.jpg,The Terminal Man Michael Crichton Ballantine Books,25,7.36,7.577130618437101
0440220602,The Chamber,John Grisham,1995,Dell Publishing Company,http://images.amazon.com/images/P/0440220602.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440220602.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440220602.01.LZZZZZZZ.jpg,The Chamber John Grisham Dell Publishing Company,104,7.394230769230769,7.467507079271529
0684867621,The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999,Scribner,http://images.amazon.com/images/P/0684867621.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684867621.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684867621.01.LZZZZZZZ.jpg,The Girl Who Loved Tom Gordon : A Novel Stephen King Scribner,43,7.046511627906977,7.301125044915389
0060930187,The Bell Jar : A Novel (Perennial Classics),Sylvia Plath,2000,Perennial,http://images.amazon.com/images/P/0060930187.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060930187.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060930187.01.LZZZZZZZ.jpg,The Bell Jar : A Novel (Perennial Classics) Sylvia Plath Perennial,28,8.0,7.936893288118116
0375760911,The Idiot Girls' Action Adventure Club,Laurie Notaro,2002,Villard Books,http://images.amazon.com/images/P/0375760911.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375760911.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375760911.01.LZZZZZZZ.jpg,The Idiot Girls' Action Adventure Club Laurie Notaro Villard Books,40,7.4,7.5495146304944925
0689817851,Go Ask Alice,Anonymous,1998,Simon Pulse,http://images.amazon.com/images/P/0689817851.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0689817851.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0689817851.01.LZZZZZZZ.jpg,Go Ask Alice Anonymous Simon Pulse,33,7.96969696969697,7.923978826974896
3423202327,MÃ?Â¶rder ohne Gesicht.,Henning Mankell,1999,Dtv,http://images.amazon.com/images/P/3423202327.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3423202327.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3423202327.01.LZZZZZZZ.jpg,MÃ?Â¶rder ohne Gesicht. Henning Mankell Dtv,10,7.5,7.732362594322317
3492045170,Stupid White Men. Eine Abrechnung mit dem Amerika unter George W. Bush,Michael Moore,2003,Piper,http://images.amazon.com/images/P/3492045170.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3492045170.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3492045170.01.LZZZZZZZ.jpg,Stupid White Men. Eine Abrechnung mit dem Amerika unter George W. Bush Michael Moore Piper,7,8.285714285714286,7.961884364061834
3548359698,Warum MÃ?Â¤nner nicht zuhÃ?Â¶ren und Frauen schlecht einparken.,Allan Pease,2000,Ullstein Tb,http://images.amazon.com/images/P/3548359698.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3548359698.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3548359698.01.LZZZZZZZ.jpg,Warum MÃ?Â¤nner nicht zuhÃ?Â¶ren und Frauen schlecht einparken. Allan Pease Ullstein Tb,5,7.2,7.718835113186781
0312283709,Running with Scissors,Augusten Burroughs,2002,St. Martin's Press,http://images.amazon.com/images/P/0312283709.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312283709.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312283709.01.LZZZZZZZ.jpg,Running with Scissors Augusten Burroughs St. Martin's Press,18,7.611111111111111,7.736075732359724
0446605484,Roses Are Red (Alex Cross Novels),James Patterson,2001,Warner Vision,http://images.amazon.com/images/P/0446605484.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446605484.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446605484.01.LZZZZZZZ.jpg,Roses Are Red (Alex Cross Novels) James Patterson Warner Vision,57,8.12280701754386,8.05156984194376
0446611212,Violets Are Blue,James Patterson,2002,Warner Vision,http://images.amazon.com/images/P/0446611212.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446611212.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446611212.01.LZZZZZZZ.jpg,Violets Are Blue James Patterson Warner Vision,72,7.75,7.771422585105103
0609804138,The Sweet Potato Queens' Book of Love,JILL CONNER BROWNE,1999,Three Rivers Press,http://images.amazon.com/images/P/0609804138.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0609804138.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0609804138.01.LZZZZZZZ.jpg,The Sweet Potato Queens' Book of Love JILL CONNER BROWNE Three Rivers Press,74,7.594594594594595,7.648626359890102
074343627X,Dreamcatcher,Stephen King,2001,Pocket,http://images.amazon.com/images/P/074343627X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/074343627X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/074343627X.01.LZZZZZZZ.jpg,Dreamcatcher Stephen King Pocket,56,7.267857142857143,7.420669445127231
0971880107,Wild Animus,Rich Shapero,2004,Too Far,http://images.amazon.com/images/P/0971880107.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0971880107.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg,Wild Animus Rich Shapero Too Far,198,4.040404040404041,4.3897746689434385
0330262130,Restaurant At the End of the Universe,Douglas Adams,0,Pan Books Ltd,http://images.amazon.com/images/P/0330262130.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0330262130.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0330262130.01.LZZZZZZZ.jpg,Restaurant At the End of the Universe Douglas Adams Pan Books Ltd,19,8.31578947368421,8.076176354606911
0385720920,Choke,CHUCK PALAHNIUK,2002,Anchor,http://images.amazon.com/images/P/0385720920.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385720920.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385720920.01.LZZZZZZZ.jpg,Choke CHUCK PALAHNIUK Anchor,29,8.241379310344827,8.081038323054479
0553262505,"A Wizard of Earthsea (Earthsea Trilogy, Book 1)",URSULA K. LE GUIN,1984,Bantam,http://images.amazon.com/images/P/0553262505.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553262505.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553262505.01.LZZZZZZZ.jpg,"A Wizard of Earthsea (Earthsea Trilogy, Book 1) URSULA K. LE GUIN Bantam",26,7.461538461538462,7.629801691949337
0425189864,Mortal Prey,John Sandford,2003,Berkley Publishing Group,http://images.amazon.com/images/P/0425189864.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425189864.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425189864.01.LZZZZZZZ.jpg,Mortal Prey John Sandford Berkley Publishing Group,23,7.956521739130435,7.906299484410919
0440236053,Writ of Execution,Perri O'Shaughnessy,2002,Dell Publishing Company,http://images.amazon.com/images/P/0440236053.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440236053.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440236053.01.LZZZZZZZ.jpg,Writ of Execution Perri O'Shaughnessy Dell Publishing Company,24,7.375,7.59024722340158
